mean_x,mean_y,mean_z,range_x,range_y,range_z,mean_magnitude,energy_x,energy_y,energy_z,atividade
0.71,0.39,0.59,0.02,0.07,0.02,1.0,10.05,3.07,6.92,Mouse
0.71,0.4,0.59,0.02,0.06,0.02,1.0,10.08,3.12,6.92,Mouse
0.71,0.4,0.59,0.02,0.04,0.02,1.0,10.08,3.16,6.92,Mouse
0.71,0.39,0.59,0.05,0.05,0.03,1.0,10.17,3.07,6.9,Mouse
0.71,0.38,0.58,0.06,0.09,0.03,0.99,10.13,2.86,6.78,Mouse
0.71,0.37,0.58,0.06,0.08,0.03,0.99,10.07,2.7,6.74,Mouse
0.71,0.36,0.58,0.06,0.07,0.03,0.99,10.06,2.67,6.73,Mouse
0.71,0.37,0.58,0.03,0.1,0.04,0.99,9.97,2.81,6.76,Mouse
0.71,0.39,0.59,0.03,0.11,0.03,1.0,10.05,3.09,6.9,Mouse
0.71,0.42,0.59,0.03,0.13,0.04,1.02,10.2,3.52,7.05,Mouse
0.72,0.43,0.6,0.03,0.11,0.04,1.03,10.27,3.77,7.11,Mouse
0.72,0.44,0.6,0.02,0.11,0.03,1.03,10.33,3.86,7.13,Mouse
0.72,0.45,0.6,0.02,0.08,0.03,1.04,10.38,3.99,7.15,Mouse
0.72,0.44,0.6,0.02,0.04,0.01,1.03,10.4,3.91,7.12,Mouse
0.72,0.44,0.6,0.01,0.05,0.01,1.03,10.45,3.86,7.09,Mouse
0.73,0.44,0.59,0.02,0.05,0.01,1.03,10.51,3.82,7.07,Mouse
0.72,0.43,0.59,0.06,0.09,0.02,1.03,10.4,3.71,7.01,Mouse
0.72,0.42,0.59,0.06,0.08,0.02,1.02,10.31,3.6,6.96,Mouse
0.71,0.42,0.59,0.06,0.08,0.01,1.02,10.21,3.6,6.95,Mouse
0.71,0.43,0.59,0.05,0.08,0.02,1.02,10.14,3.63,6.96,Mouse
0.72,0.43,0.59,0.03,0.04,0.01,1.02,10.23,3.65,6.99,Mouse
0.72,0.43,0.59,0.02,0.04,0.02,1.02,10.24,3.69,6.97,Mouse
0.72,0.42,0.59,0.02,0.04,0.02,1.02,10.28,3.62,6.97,Mouse
0.72,0.42,0.59,0.05,0.11,0.05,1.02,10.26,3.49,6.91,Mouse
0.71,0.42,0.59,0.05,0.11,0.05,1.02,10.18,3.53,6.91,Mouse
0.71,0.42,0.59,0.05,0.12,0.05,1.02,10.21,3.54,6.94,Mouse
0.71,0.43,0.59,0.05,0.12,0.05,1.02,10.21,3.68,6.96,Mouse
0.72,0.44,0.6,0.03,0.04,0.02,1.03,10.23,3.92,7.08,Mouse
0.72,0.45,0.6,0.02,0.05,0.02,1.03,10.28,3.97,7.12,Mouse
0.72,0.45,0.6,0.02,0.03,0.03,1.04,10.3,4.04,7.17,Mouse
0.72,0.45,0.6,0.02,0.03,0.03,1.04,10.24,4.03,7.17,Mouse
0.72,0.45,0.6,0.02,0.03,0.03,1.04,10.25,4.05,7.18,Mouse
0.72,0.45,0.6,0.02,0.03,0.03,1.04,10.27,4.06,7.17,Mouse
0.71,0.45,0.6,0.02,0.03,0.02,1.03,10.21,4.03,7.12,Mouse
0.72,0.45,0.6,0.02,0.05,0.02,1.03,10.24,4.0,7.12,Mouse
0.72,0.44,0.6,0.02,0.04,0.01,1.03,10.24,3.96,7.08,Mouse
