mean_x,mean_y,mean_z,range_x,range_y,range_z,mean_magnitude,energy_x,energy_y,energy_z,atividade
0.72,0.45,0.6,0.01,0.09,0.03,1.04,10.24,4.07,7.13,Mouse
0.72,0.46,0.6,0.01,0.09,0.03,1.04,10.24,4.16,7.13,Mouse
0.71,0.45,0.6,0.07,0.2,0.06,1.03,10.13,4.16,7.14,Mouse
0.7,0.45,0.6,0.07,0.2,0.1,1.03,9.92,4.06,7.2,Mouse
0.7,0.44,0.6,0.07,0.2,0.1,1.02,9.75,3.86,7.11,Mouse
0.69,0.42,0.59,0.07,0.2,0.1,1.01,9.61,3.61,7.08,Mouse
0.69,0.42,0.59,0.05,0.05,0.09,1.0,9.59,3.49,7.02,Mouse
0.69,0.41,0.59,0.01,0.06,0.02,1.0,9.63,3.43,6.89,Mouse
0.69,0.41,0.59,0.01,0.06,0.02,1.0,9.65,3.39,6.86,Mouse
0.7,0.42,0.59,0.02,0.06,0.02,1.0,9.7,3.49,6.87,Mouse
0.7,0.42,0.59,0.02,0.07,0.02,1.01,9.74,3.57,6.89,Mouse
0.7,0.44,0.59,0.03,0.07,0.03,1.01,9.79,3.83,6.97,Mouse
0.7,0.45,0.59,0.03,0.07,0.01,1.02,9.79,4.0,7.03,Mouse
0.7,0.45,0.59,0.03,0.07,0.01,1.02,9.77,4.11,7.07,Mouse
0.7,0.46,0.59,0.03,0.04,0.01,1.03,9.75,4.25,7.07,Mouse
0.7,0.46,0.59,0.02,0.03,0.01,1.02,9.73,4.21,7.03,Mouse
0.7,0.46,0.59,0.02,0.03,0.01,1.02,9.72,4.21,7.01,Mouse
0.7,0.46,0.59,0.02,0.04,0.01,1.02,9.68,4.15,6.97,Mouse
0.7,0.45,0.59,0.02,0.04,0.01,1.02,9.69,4.12,6.99,Mouse
0.7,0.45,0.59,0.02,0.04,0.01,1.02,9.69,4.11,6.99,Mouse
0.7,0.44,0.59,0.05,0.18,0.06,1.01,9.72,3.95,6.94,Mouse
0.7,0.44,0.59,0.05,0.18,0.06,1.01,9.77,3.85,6.94,Mouse
0.7,0.44,0.59,0.05,0.19,0.06,1.01,9.75,3.85,6.96,Mouse
0.7,0.44,0.59,0.05,0.2,0.06,1.01,9.73,3.9,6.96,Mouse
0.7,0.45,0.59,0.02,0.16,0.01,1.02,9.74,4.07,7.02,Mouse
0.7,0.46,0.59,0.02,0.05,0.02,1.03,9.73,4.28,7.05,Mouse
0.7,0.46,0.59,0.02,0.05,0.02,1.03,9.74,4.28,7.03,Mouse
0.7,0.45,0.59,0.03,0.13,0.03,1.02,9.72,4.07,7.01,Mouse
0.69,0.44,0.59,0.03,0.13,0.04,1.01,9.63,3.86,6.96,Mouse
0.69,0.45,0.59,0.03,0.25,0.04,1.02,9.63,4.05,7.0,Mouse
0.69,0.46,0.59,0.03,0.25,0.04,1.02,9.61,4.28,7.05,Mouse
0.69,0.48,0.6,0.1,0.23,0.06,1.03,9.58,4.76,7.11,Mouse
0.69,0.5,0.6,0.1,0.2,0.06,1.04,9.6,5.04,7.16,Mouse
0.69,0.49,0.6,0.1,0.11,0.06,1.04,9.57,4.85,7.12,Mouse
0.69,0.48,0.59,0.1,0.11,0.06,1.03,9.56,4.63,7.05,Mouse
0.69,0.46,0.59,0.02,0.07,0.01,1.02,9.58,4.22,7.0,Mouse
0.69,0.46,0.59,0.02,0.07,0.01,1.02,9.62,4.21,7.03,Mouse
0.69,0.46,0.59,0.02,0.07,0.01,1.02,9.62,4.2,7.03,Mouse
0.69,0.46,0.6,0.02,0.07,0.02,1.02,9.63,4.21,7.08,Mouse
0.69,0.46,0.6,0.01,0.07,0.02,1.03,9.63,4.33,7.09,Mouse
0.69,0.47,0.59,0.02,0.07,0.04,1.02,9.58,4.36,7.06,Mouse
0.69,0.47,0.6,0.09,0.13,0.07,1.03,9.64,4.52,7.12,Mouse
0.7,0.48,0.6,0.09,0.12,0.07,1.04,9.68,4.72,7.16,Mouse
0.7,0.49,0.6,0.09,0.12,0.07,1.04,9.71,4.89,7.22,Mouse
0.7,0.49,0.6,0.09,0.12,0.06,1.05,9.78,4.88,7.24,Mouse
0.7,0.49,0.6,0.01,0.06,0.02,1.04,9.72,4.71,7.18,Mouse
0.7,0.47,0.6,0.02,0.07,0.02,1.03,9.72,4.48,7.11,Mouse
0.7,0.46,0.59,0.02,0.07,0.02,1.03,9.69,4.3,7.03,Mouse
0.69,0.45,0.59,0.03,0.08,0.01,1.02,9.65,4.08,7.01,Mouse
0.69,0.43,0.59,0.03,0.12,0.03,1.01,9.65,3.77,6.92,Mouse
0.69,0.42,0.59,0.02,0.12,0.03,1.0,9.62,3.57,6.88,Mouse
0.69,0.42,0.59,0.02,0.15,0.04,1.0,9.65,3.53,6.89,Mouse
0.69,0.42,0.59,0.01,0.15,0.04,1.0,9.66,3.57,6.88,Mouse
0.69,0.43,0.59,0.01,0.13,0.04,1.01,9.63,3.71,6.94,Mouse
0.69,0.43,0.59,0.01,0.12,0.03,1.01,9.65,3.75,6.95,Mouse
0.69,0.43,0.59,0.01,0.08,0.01,1.01,9.65,3.64,6.93,Mouse
0.69,0.42,0.59,0.01,0.05,0.01,1.0,9.63,3.58,6.93,Mouse
0.69,0.42,0.59,0.01,0.06,0.01,1.0,9.65,3.56,6.94,Mouse
0.69,0.43,0.59,0.01,0.04,0.01,1.0,9.59,3.62,6.95,Mouse
0.69,0.42,0.59,0.01,0.04,0.01,1.0,9.58,3.6,6.94,Mouse
0.69,0.42,0.59,0.01,0.05,0.02,1.0,9.59,3.56,6.9,Mouse
0.69,0.43,0.59,0.01,0.06,0.02,1.0,9.61,3.63,6.9,Mouse
0.69,0.42,0.59,0.01,0.06,0.02,1.0,9.62,3.62,6.9,Mouse
0.69,0.42,0.59,0.02,0.06,0.02,1.0,9.58,3.61,6.88,Mouse
0.69,0.43,0.59,0.02,0.05,0.02,1.0,9.56,3.63,6.92,Mouse
0.69,0.42,0.59,0.02,0.03,0.02,1.0,9.52,3.55,6.89,Mouse
0.69,0.42,0.59,0.02,0.03,0.02,1.0,9.52,3.55,6.89,Mouse
0.69,0.42,0.59,0.02,0.04,0.01,1.0,9.52,3.54,6.93,Mouse
0.69,0.43,0.59,0.02,0.08,0.01,1.0,9.51,3.64,6.92,Mouse
0.69,0.43,0.59,0.02,0.08,0.01,1.0,9.52,3.69,6.94,Mouse
0.69,0.43,0.59,0.02,0.08,0.01,1.0,9.54,3.72,6.93,Mouse
0.69,0.44,0.59,0.02,0.06,0.01,1.01,9.59,3.8,6.93,Mouse
0.69,0.44,0.59,0.02,0.04,0.01,1.01,9.61,3.8,6.93,Mouse
0.69,0.44,0.59,0.02,0.04,0.01,1.01,9.61,3.83,6.93,Mouse
0.69,0.44,0.59,0.02,0.04,0.01,1.01,9.58,3.87,6.94,Mouse
0.69,0.44,0.59,0.02,0.03,0.01,1.01,9.54,3.89,6.95,Mouse
0.69,0.45,0.59,0.02,0.05,0.0,1.01,9.55,3.98,6.96,Mouse
0.69,0.45,0.59,0.02,0.05,0.01,1.02,9.56,4.08,6.97,Mouse
0.69,0.45,0.59,0.02,0.05,0.01,1.02,9.54,4.14,6.99,Mouse
0.69,0.46,0.59,0.02,0.05,0.02,1.02,9.55,4.17,6.97,Mouse
0.69,0.45,0.59,0.02,0.06,0.02,1.01,9.51,4.09,6.97,Mouse
0.69,0.45,0.59,0.03,0.05,0.02,1.01,9.56,4.05,6.96,Mouse
0.69,0.45,0.59,0.03,0.04,0.02,1.01,9.59,4.02,6.96,Mouse
0.69,0.45,0.59,0.03,0.05,0.01,1.02,9.59,4.07,6.97,Mouse
0.69,0.45,0.59,0.03,0.05,0.01,1.02,9.61,4.14,6.99,Mouse
0.69,0.46,0.59,0.02,0.05,0.01,1.02,9.56,4.19,7.0,Mouse
0.69,0.46,0.59,0.02,0.05,0.01,1.02,9.58,4.19,6.99,Mouse
0.69,0.46,0.59,0.02,0.05,0.02,1.02,9.58,4.16,6.97,Mouse
0.69,0.45,0.59,0.04,0.06,0.02,1.02,9.61,4.06,6.95,Mouse
0.69,0.44,0.59,0.05,0.04,0.01,1.01,9.55,3.96,6.94,Mouse
0.69,0.44,0.59,0.05,0.05,0.02,1.01,9.57,3.88,6.95,Mouse
0.69,0.44,0.59,0.05,0.04,0.02,1.01,9.58,3.8,6.96,Mouse
0.69,0.43,0.59,0.04,0.04,0.02,1.01,9.58,3.74,6.97,Mouse
0.69,0.43,0.59,0.02,0.05,0.02,1.01,9.65,3.77,6.97,Mouse
0.69,0.44,0.59,0.02,0.06,0.03,1.01,9.63,3.87,6.97,Mouse
0.69,0.44,0.59,0.03,0.06,0.03,1.01,9.61,3.85,6.97,Mouse
0.69,0.44,0.59,0.02,0.06,0.03,1.01,9.59,3.88,6.97,Mouse
0.69,0.44,0.59,0.02,0.06,0.03,1.01,9.54,3.8,6.95,Mouse
0.69,0.43,0.59,0.03,0.03,0.01,1.0,9.54,3.69,6.92,Mouse
0.69,0.43,0.59,0.03,0.03,0.01,1.0,9.52,3.67,6.92,Mouse
0.69,0.43,0.59,0.03,0.03,0.01,1.0,9.5,3.64,6.89,Mouse
0.69,0.43,0.59,0.03,0.05,0.01,1.0,9.51,3.68,6.92,Mouse
0.69,0.43,0.59,0.02,0.05,0.01,1.0,9.51,3.71,6.94,Mouse
0.69,0.43,0.59,0.03,0.07,0.01,1.0,9.55,3.69,6.93,Mouse
0.69,0.44,0.59,0.03,0.07,0.02,1.01,9.55,3.82,6.96,Mouse
0.69,0.44,0.59,0.03,0.07,0.02,1.01,9.56,3.87,6.96,Mouse
0.69,0.44,0.59,0.03,0.07,0.02,1.01,9.56,3.92,6.97,Mouse
0.69,0.45,0.59,0.02,0.02,0.01,1.01,9.55,4.06,6.99,Mouse
0.69,0.45,0.59,0.02,0.03,0.01,1.02,9.55,4.09,6.97,Mouse
0.69,0.45,0.59,0.02,0.06,0.02,1.01,9.51,4.13,6.96,Mouse
0.69,0.46,0.59,0.02,0.06,0.01,1.02,9.51,4.15,6.95,Mouse
0.69,0.45,0.59,0.02,0.06,0.01,1.02,9.54,4.13,6.95,Mouse
0.69,0.45,0.59,0.02,0.07,0.02,1.01,9.58,4.05,6.96,Mouse
0.7,0.45,0.59,0.03,0.09,0.02,1.02,9.68,4.09,7.01,Mouse
0.7,0.45,0.59,0.03,0.09,0.02,1.02,9.68,4.13,7.01,Mouse
0.7,0.46,0.59,0.04,0.09,0.02,1.02,9.7,4.19,7.02,Mouse
0.7,0.46,0.59,0.04,0.06,0.02,1.02,9.7,4.26,7.01,Mouse
0.7,0.45,0.59,0.04,0.12,0.02,1.02,9.66,4.07,6.95,Mouse
0.68,0.44,0.59,0.09,0.12,0.03,1.0,9.33,3.9,6.87,Mouse
0.67,0.42,0.58,0.18,0.16,0.05,0.98,9.06,3.5,6.67,Mouse
0.66,0.38,0.57,0.18,0.17,0.05,0.95,8.75,2.95,6.44,Mouse
0.65,0.35,0.56,0.21,0.28,0.05,0.93,8.39,2.5,6.29,Mouse
0.65,0.33,0.56,0.21,0.22,0.03,0.91,8.43,2.17,6.16,Mouse
0.64,0.33,0.56,0.16,0.18,0.03,0.91,8.31,2.15,6.17,Mouse
0.64,0.34,0.56,0.16,0.18,0.02,0.92,8.26,2.32,6.25,Mouse
0.63,0.37,0.56,0.12,0.22,0.04,0.93,8.0,2.84,6.31,Mouse
0.62,0.41,0.57,0.1,0.19,0.04,0.93,7.62,3.46,6.4,Mouse
0.6,0.44,0.57,0.09,0.18,0.04,0.94,7.24,3.9,6.45,Mouse
0.59,0.47,0.57,0.08,0.18,0.04,0.95,6.95,4.39,6.53,Mouse
0.6,0.49,0.58,0.07,0.09,0.05,0.96,7.16,4.73,6.67,Mouse
0.62,0.5,0.59,0.1,0.12,0.06,0.99,7.65,5.0,6.9,Mouse
0.64,0.51,0.6,0.1,0.12,0.06,1.01,8.23,5.27,7.12,Mouse
0.66,0.52,0.6,0.05,0.06,0.03,1.03,8.68,5.41,7.29,Mouse
0.67,0.52,0.61,0.07,0.06,0.03,1.04,8.97,5.4,7.33,Mouse
0.7,0.5,0.6,0.2,0.08,0.08,1.06,9.98,5.02,7.3,Mouse
0.72,0.49,0.61,0.2,0.07,0.08,1.06,10.44,4.81,7.35,Mouse
0.73,0.48,0.61,0.2,0.12,0.08,1.07,10.83,4.63,7.36,Mouse
0.75,0.47,0.61,0.16,0.11,0.08,1.07,11.24,4.36,7.4,Mouse
0.74,0.46,0.61,0.06,0.11,0.03,1.06,10.84,4.29,7.38,Mouse
0.74,0.46,0.61,0.06,0.11,0.03,1.06,10.99,4.22,7.4,Mouse
0.75,0.46,0.61,0.04,0.07,0.03,1.07,11.22,4.17,7.43,Mouse
0.75,0.45,0.61,0.02,0.07,0.03,1.07,11.39,4.13,7.46,Mouse
0.76,0.45,0.61,0.02,0.03,0.02,1.07,11.42,4.13,7.49,Mouse
0.75,0.45,0.61,0.03,0.04,0.02,1.07,11.39,4.04,7.42,Mouse
0.75,0.44,0.61,0.02,0.04,0.02,1.07,11.4,3.94,7.38,Mouse
0.75,0.45,0.61,0.03,0.06,0.01,1.06,11.33,3.99,7.35,Mouse
0.75,0.45,0.61,0.03,0.06,0.02,1.07,11.33,4.01,7.37,Mouse
0.75,0.45,0.61,0.03,0.06,0.02,1.07,11.34,4.0,7.38,Mouse
0.75,0.45,0.61,0.03,0.06,0.02,1.07,11.34,4.05,7.41,Mouse
0.75,0.45,0.61,0.03,0.05,0.02,1.07,11.39,3.97,7.43,Mouse
0.76,0.44,0.61,0.03,0.03,0.02,1.07,11.4,3.93,7.41,Mouse
0.75,0.44,0.61,0.01,0.04,0.03,1.06,11.37,3.87,7.35,Mouse
0.75,0.44,0.61,0.01,0.04,0.03,1.06,11.36,3.81,7.33,Mouse
0.75,0.43,0.6,0.01,0.04,0.03,1.06,11.33,3.76,7.32,Mouse
0.75,0.43,0.6,0.02,0.02,0.03,1.05,11.27,3.69,7.29,Mouse
0.75,0.43,0.6,0.02,0.03,0.03,1.05,11.25,3.69,7.27,Mouse
0.75,0.43,0.6,0.02,0.04,0.03,1.05,11.27,3.63,7.24,Mouse
0.75,0.42,0.6,0.02,0.04,0.02,1.05,11.27,3.61,7.18,Mouse
0.75,0.42,0.6,0.02,0.04,0.02,1.05,11.31,3.58,7.16,Mouse
0.75,0.42,0.6,0.02,0.03,0.02,1.05,11.33,3.58,7.21,Mouse
0.75,0.42,0.6,0.02,0.02,0.02,1.05,11.34,3.6,7.2,Mouse
0.75,0.42,0.6,0.01,0.02,0.02,1.05,11.39,3.61,7.24,Mouse
0.75,0.42,0.6,0.01,0.01,0.01,1.05,11.37,3.61,7.26,Mouse
0.76,0.43,0.6,0.01,0.02,0.02,1.06,11.4,3.64,7.25,Mouse
0.76,0.42,0.6,0.01,0.02,0.02,1.06,11.42,3.61,7.25,Mouse
0.76,0.43,0.6,0.04,0.07,0.03,1.06,11.42,3.76,7.26,Mouse
0.75,0.44,0.6,0.1,0.11,0.03,1.06,11.27,3.98,7.3,Mouse
0.75,0.45,0.61,0.1,0.11,0.03,1.06,11.15,4.01,7.35,Mouse
0.74,0.45,0.61,0.1,0.12,0.03,1.06,11.08,4.05,7.33,Mouse
0.74,0.44,0.6,0.09,0.12,0.03,1.05,11.0,3.87,7.29,Mouse
0.75,0.44,0.6,0.03,0.1,0.03,1.05,11.13,3.85,7.26,Mouse
0.72,0.44,0.59,0.59,0.25,0.35,1.03,10.66,3.87,6.96,Mouse
0.6,0.46,0.54,0.59,0.29,0.35,0.94,8.24,4.21,5.99,Mouse
0.49,0.46,0.5,0.59,0.29,0.35,0.85,5.96,4.29,5.15,Celular
0.36,0.49,0.44,0.58,0.41,0.35,0.77,3.4,4.91,4.07,Celular
0.26,0.54,0.41,0.14,0.27,0.11,0.73,1.4,6.01,3.35,Celular
0.25,0.57,0.41,0.14,0.27,0.11,0.75,1.29,6.77,3.31,Celular
0.23,0.63,0.4,0.06,0.15,0.06,0.78,1.06,7.86,3.16,Celular
0.23,0.64,0.4,0.03,0.06,0.1,0.79,1.07,8.2,3.25,Celular
0.23,0.64,0.4,0.04,0.07,0.11,0.79,1.06,8.25,3.16,Celular
0.23,0.65,0.4,0.04,0.07,0.11,0.79,1.05,8.41,3.16,Celular
0.23,0.66,0.4,0.04,0.08,0.11,0.8,1.04,8.66,3.15,Celular
0.23,0.67,0.39,0.04,0.08,0.04,0.81,1.05,8.96,3.11,Celular
0.23,0.68,0.4,0.04,0.05,0.03,0.82,1.09,9.13,3.15,Celular
0.24,0.68,0.4,0.09,0.33,0.15,0.83,1.17,9.35,3.27,Celular
0.24,0.7,0.4,0.09,0.43,0.15,0.84,1.16,9.98,3.26,Celular
0.24,0.71,0.4,0.09,0.43,0.15,0.85,1.13,10.3,3.22,Celular
0.23,0.73,0.4,0.09,0.43,0.15,0.86,1.08,10.73,3.2,Celular
0.22,0.74,0.39,0.03,0.18,0.04,0.87,0.99,11.11,3.11,Celular
0.22,0.74,0.39,0.02,0.03,0.04,0.87,0.98,10.95,3.1,Celular
0.22,0.74,0.4,0.02,0.03,0.03,0.87,0.98,11.04,3.13,Celular
0.22,0.75,0.4,0.03,0.06,0.03,0.88,1.0,11.39,3.14,Celular
0.23,0.76,0.39,0.03,0.07,0.03,0.89,1.03,11.72,3.12,Celular
0.23,0.78,0.4,0.03,0.07,0.03,0.9,1.05,12.02,3.16,Celular
0.23,0.79,0.4,0.01,0.03,0.03,0.91,1.1,12.39,3.17,Celular
0.23,0.79,0.4,0.01,0.03,0.02,0.91,1.1,12.37,3.2,Celular
0.24,0.81,0.4,0.04,0.23,0.03,0.93,1.14,13.11,3.19,Celular
0.24,0.79,0.4,0.04,0.3,0.03,0.92,1.14,12.71,3.17,Celular
0.23,0.75,0.4,0.06,0.44,0.04,0.88,1.1,11.49,3.18,Celular
0.23,0.72,0.4,0.06,0.44,0.04,0.85,1.08,10.57,3.16,Celular
0.23,0.67,0.4,0.03,0.19,0.04,0.81,1.03,9.1,3.16,Celular
0.22,0.66,0.4,0.03,0.17,0.04,0.81,1.0,8.86,3.18,Celular
0.23,0.69,0.4,0.03,0.07,0.03,0.83,1.02,9.48,3.17,Celular
0.23,0.7,0.4,0.03,0.1,0.03,0.83,1.02,9.69,3.15,Celular
0.23,0.69,0.4,0.04,0.12,0.05,0.82,1.01,9.46,3.15,Celular
0.23,0.66,0.4,0.09,0.23,0.1,0.81,1.09,8.88,3.17,Celular
0.23,0.63,0.4,0.09,0.23,0.1,0.78,1.1,8.02,3.16,Celular
0.23,0.62,0.4,0.09,0.21,0.1,0.77,1.1,7.74,3.19,Celular
0.24,0.62,0.4,0.09,0.21,0.08,0.78,1.11,7.77,3.26,Celular
0.23,0.63,0.4,0.03,0.18,0.05,0.79,1.07,8.03,3.26,Celular
0.23,0.65,0.41,0.03,0.1,0.04,0.8,1.06,8.44,3.31,Celular
0.23,0.66,0.41,0.03,0.11,0.04,0.81,1.09,8.66,3.34,Celular
0.24,0.67,0.41,0.03,0.14,0.06,0.82,1.11,8.89,3.32,Celular
0.23,0.65,0.4,0.03,0.21,0.07,0.8,1.09,8.59,3.25,Celular
0.23,0.65,0.4,0.03,0.21,0.06,0.79,1.08,8.42,3.16,Celular
0.23,0.64,0.39,0.03,0.21,0.12,0.78,1.02,8.19,3.02,Celular
0.22,0.62,0.38,0.03,0.19,0.11,0.76,0.99,7.71,2.97,Celular
0.22,0.61,0.39,0.03,0.19,0.11,0.76,1.0,7.45,2.99,Celular
0.22,0.6,0.39,0.03,0.19,0.11,0.75,1.01,7.15,3.02,Celular
0.23,0.58,0.39,0.03,0.19,0.05,0.73,1.03,6.69,3.05,Celular
0.23,0.56,0.39,0.02,0.06,0.04,0.72,1.05,6.34,3.04,Celular
0.23,0.57,0.39,0.01,0.06,0.04,0.72,1.04,6.4,3.01,Celular
0.23,0.55,0.39,0.15,0.29,0.1,0.72,1.1,6.25,2.98,Celular
0.24,0.6,0.39,0.15,0.45,0.12,0.76,1.16,7.35,3.13,Celular
0.24,0.62,0.4,0.15,0.45,0.12,0.77,1.14,7.84,3.15,Celular
0.24,0.63,0.4,0.15,0.45,0.12,0.79,1.13,8.22,3.16,Celular
0.23,0.66,0.4,0.05,0.19,0.1,0.8,1.07,8.68,3.18,Celular
0.23,0.62,0.39,0.04,0.09,0.06,0.77,1.02,7.77,3.03,Celular
0.23,0.62,0.39,0.04,0.06,0.05,0.76,1.05,7.59,3.05,Celular
0.23,0.62,0.39,0.04,0.06,0.05,0.77,1.05,7.59,3.1,Celular
0.23,0.61,0.4,0.04,0.19,0.09,0.76,1.05,7.42,3.14,Celular
0.23,0.59,0.4,0.05,0.21,0.11,0.75,1.07,7.11,3.16,Celular
0.23,0.59,0.4,0.05,0.21,0.11,0.75,1.07,7.13,3.16,Celular
0.24,0.59,0.4,0.05,0.21,0.11,0.75,1.11,7.12,3.19,Celular
0.24,0.6,0.4,0.05,0.21,0.08,0.76,1.14,7.28,3.2,Celular
0.24,0.62,0.4,0.03,0.05,0.04,0.78,1.15,7.74,3.26,Celular
0.24,0.62,0.41,0.02,0.05,0.03,0.78,1.17,7.77,3.32,Celular
0.24,0.63,0.41,0.02,0.05,0.03,0.79,1.17,7.89,3.33,Celular
0.24,0.64,0.41,0.02,0.11,0.04,0.79,1.16,8.13,3.33,Celular
0.24,0.64,0.4,0.03,0.13,0.06,0.79,1.12,8.12,3.26,Celular
0.24,0.64,0.4,0.04,0.13,0.09,0.79,1.13,8.27,3.26,Celular
0.24,0.64,0.4,0.04,0.13,0.09,0.79,1.11,8.17,3.24,Celular
0.24,0.64,0.41,0.04,0.12,0.12,0.79,1.14,8.14,3.33,Celular
0.24,0.63,0.41,0.04,0.16,0.1,0.79,1.16,7.93,3.44,Celular
0.24,0.62,0.41,0.04,0.13,0.09,0.78,1.14,7.76,3.41,Celular
0.24,0.62,0.41,0.03,0.13,0.09,0.78,1.14,7.72,3.4,Celular
0.24,0.61,0.41,0.03,0.11,0.03,0.77,1.12,7.45,3.33,Celular
0.24,0.62,0.41,0.03,0.14,0.08,0.78,1.11,7.64,3.35,Celular
0.24,0.62,0.41,0.03,0.14,0.08,0.78,1.11,7.81,3.33,Celular
0.24,0.63,0.41,0.03,0.14,0.08,0.79,1.11,7.95,3.34,Celular
0.24,0.65,0.41,0.07,0.16,0.08,0.8,1.13,8.38,3.35,Celular
0.24,0.65,0.41,0.07,0.08,0.06,0.81,1.14,8.55,3.31,Celular
0.24,0.65,0.41,0.07,0.08,0.06,0.8,1.12,8.54,3.31,Celular
0.23,0.66,0.41,0.07,0.08,0.06,0.81,1.1,8.59,3.31,Celular
0.23,0.65,0.4,0.02,0.04,0.05,0.8,1.06,8.43,3.24,Celular
0.23,0.65,0.4,0.02,0.04,0.05,0.79,1.05,8.36,3.2,Celular
0.23,0.65,0.4,0.02,0.06,0.05,0.8,1.06,8.49,3.22,Celular
0.23,0.66,0.4,0.03,0.07,0.05,0.81,1.09,8.74,3.24,Celular
0.24,0.67,0.4,0.03,0.07,0.05,0.82,1.12,8.94,3.28,Celular
0.24,0.69,0.41,0.03,0.11,0.09,0.84,1.13,9.53,3.32,Celular
0.24,0.7,0.41,0.03,0.11,0.09,0.85,1.15,9.84,3.36,Celular
0.24,0.71,0.41,0.03,0.11,0.09,0.85,1.15,10.05,3.35,Celular
0.24,0.72,0.41,0.03,0.06,0.09,0.86,1.14,10.33,3.36,Celular
0.24,0.69,0.41,0.03,0.54,0.04,0.84,1.17,9.81,3.34,Celular
0.24,0.69,0.41,0.06,0.54,0.06,0.84,1.13,9.65,3.31,Celular
0.24,0.68,0.41,0.06,0.54,0.06,0.83,1.12,9.36,3.32,Celular
0.24,0.68,0.4,0.06,0.54,0.06,0.83,1.13,9.4,3.29,Celular
0.24,0.7,0.41,0.05,0.11,0.06,0.84,1.11,9.86,3.31,Celular
0.24,0.71,0.41,0.02,0.12,0.05,0.85,1.15,10.11,3.33,Celular
0.24,0.72,0.41,0.02,0.05,0.04,0.86,1.14,10.38,3.31,Celular
0.24,0.72,0.41,0.01,0.05,0.02,0.86,1.13,10.41,3.33,Celular
0.24,0.72,0.41,0.01,0.05,0.02,0.86,1.12,10.46,3.31,Celular
0.24,0.72,0.4,0.02,0.04,0.03,0.86,1.11,10.47,3.27,Celular
0.23,0.73,0.4,0.02,0.04,0.02,0.86,1.09,10.6,3.26,Celular
